Region;TKO-40;WT-40;WT-50;TKO-50
ACAd;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
ACAv;Cluster10-TKO40;Cluster10-WT40;Cluster9-WT50;Cluster11-TKO50
ILA;Cluster10-TKO40;Cluster11-WT40;Cluster8-WT50;Cluster9-TKO50
PL;Cluster10-TKO40;Cluster10-WT40;Cluster8-WT50;Cluster9-TKO50
AUDd;Cluster10-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster10-TKO50
AUDp;Cluster10-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster10-TKO50
AUDpo;Cluster10-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster10-TKO50
AUDv;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
MOp;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
MOs;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
RSPagl;Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
RSPd;Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
RSPv;Cluster10-TKO40;Cluster2-WT40;Cluster2-WT50;Cluster10-TKO50
SSp-bf;Cluster10-TKO40;Cluster5-WT40;Cluster2-WT50;Cluster10-TKO50
SSp-n;Cluster5-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster1-TKO50
SSp-tr;Cluster11-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster11-TKO50
SSp-ll;Cluster11-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster11-TKO50
SSp-ul;Cluster10-TKO40;Cluster10-WT40;Cluster1-WT50;Cluster10-TKO50
SSp-un;Cluster10-TKO40;Cluster10-WT40;Cluster1-WT50;Cluster10-TKO50
SSs;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
TEa;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
VISC;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster10-TKO50
AI;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster10-TKO50
VISli;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
VISa;Cluster10-TKO40;Cluster10-WT40;Cluster1-WT50;Cluster10-TKO50
VISal;Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISam;Cluster10-TKO40;Cluster1-WT40;Cluster1-WT50;Cluster10-TKO50
VISl;Cluster10-TKO40;Cluster10-WT40;Cluster2-WT50;Cluster10-TKO50
VISp(pl);Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISp(al);Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISp(am);Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISp(pm);Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISpm;Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISrl;Cluster10-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster10-TKO50
VISpl;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
VISpor;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster10-TKO50
COAa ;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster4-TKO50
COApl ;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
COApm ;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
PIR;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
TR;Cluster5-TKO40;Cluster10-WT40;Cluster12-WT50;Cluster4-TKO50
PA;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
LA;Cluster5-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster5-TKO50
BLAa;Cluster5-TKO40;Cluster5-WT40;Cluster11-WT50;Cluster5-TKO50
BLAp;Cluster5-TKO40;Cluster5-WT40;Cluster11-WT50;Cluster4-TKO50
BLAv;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster4-TKO50
BMAa;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster4-TKO50
BMAp;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
EPd;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
EPv;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster4-TKO50
CLA;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster10-TKO50
APr;Cluster10-TKO40;Cluster10-WT40;Cluster9-WT50;Cluster9-TKO50
HATA;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
CA1d;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster11-TKO50
CA1i;Cluster5-TKO40;Cluster1-WT40;Cluster10-WT50;Cluster5-TKO50
CA1v;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
CA2d;Cluster10-TKO40;Cluster1-WT40;Cluster10-WT50;Cluster11-TKO50
CA2i;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
CA2v;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
CA3d;Cluster10-TKO40;Cluster1-WT40;Cluster10-WT50;Cluster11-TKO50
CA3i;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
CA3v;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
DGd;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster11-TKO50
DGi;Cluster11-TKO40;Cluster11-WT40;Cluster12-WT50;Cluster12-TKO50
DGv;Cluster12-TKO40;Cluster11-WT40;Cluster12-WT50;Cluster12-TKO50
IG;Cluster6-TKO40;Cluster11-WT40;Cluster12-WT50;Cluster12-TKO50
ENTl;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster4-TKO50
ENTm;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
PAR;Cluster11-TKO40;Cluster11-WT40;Cluster12-WT50;Cluster12-TKO50
POST;Cluster11-TKO40;Cluster10-WT40;Cluster9-WT50;Cluster9-TKO50
PRE;Cluster11-TKO40;Cluster11-WT40;Cluster12-WT50;Cluster12-TKO50
ProS;Cluster10-TKO40;Cluster10-WT40;Cluster9-WT50;Cluster11-TKO50
SUB;Cluster10-TKO40;Cluster10-WT40;Cluster9-WT50;Cluster11-TKO50
MEA;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
IA;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster4-TKO50
AAA;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
CEAc;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
CEAl;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
CEAm;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
CPcdl;Cluster10-TKO40;Cluster1-WT40;Cluster10-WT50;Cluster11-TKO50
CPcdm;Cluster10-TKO40;Cluster5-WT40;Cluster2-WT50;Cluster10-TKO50
CPcml;Cluster10-TKO40;Cluster1-WT40;Cluster10-WT50;Cluster10-TKO50
CPcmm;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster10-TKO50
CPcv;Cluster5-TKO40;Cluster5-WT40;Cluster11-WT50;Cluster5-TKO50
CPmdc;Cluster10-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster5-TKO50
CPmdl;Cluster10-TKO40;Cluster10-WT40;Cluster10-WT50;Cluster5-TKO50
CPmdm;Cluster5-TKO40;Cluster1-WT40;Cluster2-WT50;Cluster5-TKO50
CPmmc;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
CPmml;Cluster5-TKO40;Cluster5-WT40;Cluster10-WT50;Cluster5-TKO50
CPmvc;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
CPmvl;Cluster5-TKO40;Cluster5-WT40;Cluster12-WT50;Cluster5-TKO50
LS;Cluster10-TKO40;Cluster5-WT40;Cluster11-WT50;Cluster11-TKO50
SF;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
GPe;Cluster5-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster5-TKO50
GPi;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster11-TKO50
SI;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
TRS;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
AD;Cluster10-TKO40;Cluster1-WT40;Cluster1-WT50;Cluster11-TKO50
AM;Cluster10-TKO40;Cluster11-WT40;Cluster11-WT50;Cluster11-TKO50
AV;Cluster10-TKO40;Cluster1-WT40;Cluster1-WT50;Cluster11-TKO50
IAD;Cluster10-TKO40;Cluster11-WT40;Cluster11-WT50;Cluster11-TKO50
IAM;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
LD;Cluster10-TKO40;Cluster1-WT40;Cluster1-WT50;Cluster11-TKO50
EPI;Cluster6-TKO40;Cluster5-WT40;Cluster6-WT50;Cluster3-TKO50
IGL;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
LGv;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
IntG;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
SubG;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster11-TKO50
CL;Cluster10-TKO40;Cluster11-WT40;Cluster11-WT50;Cluster11-TKO50
CM;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
PCN;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
RH;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
PF;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster11-TKO50
PIL;Cluster5-TKO40;Cluster5-WT40;Cluster11-WT50;Cluster5-TKO50
Eth;Cluster10-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster11-TKO50
PO;Cluster10-TKO40;Cluster11-WT40;Cluster11-WT50;Cluster9-TKO50
LP;Cluster10-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster5-TKO50
SGN;Cluster5-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster1-TKO50
POL;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster1-TKO50
IMD;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
MD;Cluster10-TKO40;Cluster9-WT40;Cluster9-WT50;Cluster9-TKO50
PR;Cluster10-TKO40;Cluster11-WT40;Cluster9-WT50;Cluster11-TKO50
SMT;Cluster10-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
RE;Cluster10-TKO40;Cluster11-WT40;Cluster9-WT50;Cluster11-TKO50
PT;Cluster10-TKO40;Cluster10-WT40;Cluster6-WT50;Cluster11-TKO50
PVT;Cluster10-TKO40;Cluster11-WT40;Cluster11-WT50;Cluster11-TKO50
Xi;Cluster10-TKO40;Cluster11-WT40;Cluster9-WT50;Cluster11-TKO50
RT;Cluster10-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster11-TKO50
LGd;Cluster10-TKO40;Cluster5-WT40;Cluster1-WT50;Cluster5-TKO50
MG;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
PP;Cluster5-TKO40;Cluster5-WT40;Cluster11-WT50;Cluster5-TKO50
SPA;Cluster10-TKO40;Cluster11-WT40;Cluster8-WT50;Cluster9-TKO50
SPF;Cluster5-TKO40;Cluster10-WT40;Cluster11-WT50;Cluster11-TKO50
PoT;Cluster5-TKO40;Cluster5-WT40;Cluster5-WT50;Cluster5-TKO50
VAL;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
VM;Cluster11-TKO40;Cluster9-WT40;Cluster8-WT50;Cluster9-TKO50
